modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-tc-bible-big-aav-fra_ita_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-aav-fra_ita_por_spa,bru cmo hoc jun kha khm kxm vie wbm,fra ita por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-aav-fra_ita_por_spa,Neural machine translation model for translating from Austro-Asiatic languages (aav) to unknown (fra+ita+por+spa).,True
opus-mt-tc-bible-big-afa-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-afa-deu_eng_fra_por_spa,aar acm afb amh apc ara arc arq arz bcw byn cop daa dsh gde gnd hau hbo heb hig irk jpa kab ker kqp ktb kxc lln lme meq mfh mfi mfk mif mlt mpg mqb muy oar orm pbi phn rif sgw shi shy som sur syc syr taq thv tig tir tmc tmh tmr ttr tzm wal xed zgh,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-afa-deu_eng_fra_por_spa,Neural machine translation model for translating from Afro-Asiatic languages (afa) to unknown (deu+eng+fra+por+spa).,True
opus-mt-tc-bible-big-afa-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-afa-deu_eng_nld,aar acm afb amh apc ara arc arq arz bcw byn cop daa dsh gde gnd hau hbo heb hig irk jpa kab ker kqp ktb kxc lln lme meq mfh mfi mfk mif mlt mpg mqb muy oar orm pbi phn rif sgw shi shy som sur syc syr taq tig tir tmc tmh tmr ttr tzm wal xed zgh,deu eng nld,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-afa-deu_eng_nld,Neural machine translation model for translating from Afro-Asiatic languages (afa) to unknown (deu+eng+nld).,True
opus-mt-tc-bible-big-afa-en,Helsinki-NLP/opus-mt-tc-bible-big-afa-en,aar acm afb amh apc ara arc arq arz bcw byn cop daa dsh gde gnd hau hbo heb hig irk jpa kab ker kqp ktb kxc lln lme meq mfh mfi mfk mif mlt mpg mqb muy oar orm pbi phn rif sgw shi shy som sur syc syr taq tig tir tmc tmh tmr ttr tzm wal xed zgh,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-afa-en,Neural machine translation model for translating from Afro-Asiatic languages (afa) to English (en).,False
opus-mt-tc-bible-big-afa-fra_ita_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-afa-fra_ita_por_spa,amh apc ara arq arz bcw cop daa dsh gde gnd hau hbo heb hig irk jpa kab ker kqp ktb kxc lln lme meq mfh mfi mfk mif mlt mpg mqb muy oar pbi phn rif sgw shi shy som sur syc thv tir tmc tmh tmr ttr wal xed zgh,fra ita por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-afa-fra_ita_por_spa,Neural machine translation model for translating from Afro-Asiatic languages (afa) to unknown (fra+ita+por+spa).,True
opus-mt-tc-bible-big-alv-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-alv-deu_eng_fra_por_spa,abi acd ade adj aka akp ann anv atg avn bas bav bba beh bem bfd bfo bim biv bkv blh bmq bmv bom bov box bqj bss btt bud bwu cce cjk cko cme csk cwe cwt dag dga dgi dig dop dug dyi dyo efi ewe fal fon fuc ful gej gkn gng gog gud gur guw gux gwr hag hay heh her ibo ife iri izr jbu jmc kam kbp kdc kdl kdn ken keu kez kia kik kin kki kkj kma kmb kon ksb ktj kua kub kus kyf las lee lef lem lia lin lip lob lon lua lug luy maw mcp mcu mda mfq mgo mnf mnh mor mos muh myk myx mzk mzm mzw nbl ncu nde ndo ndz nfr nhu nim nin nmz nnb nnh nnw nso ntm ntr nuj nwb nya nyf nyn nyo nyy nzi oku old ozm pai pbl pkb rim run sag seh sig sil sld sna snw sot soy spp ssw suk swa swc swh sxb tbz tem thk tik tlj toh toi tpm tsn tso tsw tum twi umb vag ven vmw vun wmw wob wol xho xog xon xrb xsm xuo yam yaz yor zul,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-alv-deu_eng_fra_por_spa,Neural machine translation model for translating from Atlantic-Congo languages (alv) to unknown (deu+eng+fra+por+spa).,True
opus-mt-tc-bible-big-bat-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_fra_por_spa,lav lit prg sgs,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_fra_por_spa,Neural machine translation model for translating from Baltic languages (bat) to unknown (deu+eng+fra+por+spa).,True
opus-mt-tc-bible-big-bat-deu_eng_nld,Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_nld,lav lit prg sgs,deu eng nld,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-bat-deu_eng_nld,Neural machine translation model for translating from Baltic languages (bat) to unknown (deu+eng+nld).,True
opus-mt-tc-bible-big-bat-en,Helsinki-NLP/opus-mt-tc-bible-big-bat-en,lav lit prg sgs,eng,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-bat-en,Neural machine translation model for translating from Baltic languages (bat) to English (en).,False
opus-mt-tc-bible-big-bnt-deu_eng_fra_por_spa,Helsinki-NLP/opus-mt-tc-bible-big-bnt-deu_eng_fra_por_spa,bas bem bnt bss cce cjk cwe dig dug gog gwr hay heh her jmc kam kdc kdn kik kin kki kkj kmb kng kon ksb kua ldi lem lin lon lsm lua lug luy mcp myx nbl nde ndo nim nnb nso nuj nya nyf nyn nyo nyy old ozm pkb rim run seh sna sot ssw suk swa swc swh sxb thk tlj toh toi tsn tso tum umb ven vmw vun wmw xho xog zul,deu eng fra por spa,,,https://huggingface.co/Helsinki-NLP/opus-mt-tc-bible-big-bnt-deu_eng_fra_por_spa,Neural machine translation model for translating from Bantu languages (bnt) to unknown (deu+eng+fra+por+spa).,True
