modelName,modelPath,sourceLanguages,targetLanguages,sourceLanguage,targetLanguage,modelURL,description,prependTargetLanguage
opus-mt-NORTH_EU-NORTH_EU,Helsinki-NLP/opus-mt-NORTH_EU-NORTH_EU,de nl fy af da fo is no nb nn sv,de nl fy af da fo is no nb nn sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-NORTH_EU-NORTH_EU, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/de+nl+fy+af+da+fo+is+no+nb+nn+sv-de+nl+fy+af+da+fo+is+no+nb+nn+sv/README.md",opus-mt-NORTH_EU-NORTH_EU NMT model.,True
opus-mt-ROMANCE-en,Helsinki-NLP/opus-mt-ROMANCE-en,fr fr_BE fr_CA fr_FR wa frp oc ca rm lld fur lij lmo es es_AR es_CL es_CO es_CR es_DO es_EC es_ES es_GT es_HN es_MX es_NI es_PA es_PE es_PR es_SV es_UY es_VE pt pt_br pt_BR pt_PT gl lad an mwl it it_IT co nap scn vec sc ro la,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-ROMANCE-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/fr+fr_BE+fr_CA+fr_FR+wa+frp+oc+ca+rm+lld+fur+lij+lmo+es+es_AR+es_CL+es_CO+es_CR+es_DO+es_EC+es_ES+es_GT+es_HN+es_MX+es_NI+es_PA+es_PE+es_PR+es_SV+es_UY+es_VE+pt+pt_br+pt_BR+pt_PT+gl+lad+an+mwl+it+it_IT+co+nap+scn+vec+sc+ro+la-en/README.md",opus-mt-ROMANCE-en NMT model.,False
opus-mt-SCANDINAVIA-SCANDINAVIA,Helsinki-NLP/opus-mt-SCANDINAVIA-SCANDINAVIA,da fo is no nb nn sv,da fo is no nb nn sv,,,"https://huggingface.co/Helsinki-NLP/opus-mt-SCANDINAVIA-SCANDINAVIA, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/da+fo+is+no+nb+nn+sv-da+fo+is+no+nb+nn+sv/README.md",opus-mt-SCANDINAVIA-SCANDINAVIA NMT model.,True
opus-mt-aav-en,Helsinki-NLP/opus-mt-aav-en,hoc hoc_Latn kha khm khm_Latn mnw vie vie_Hani,eng,,,"https://huggingface.co/Helsinki-NLP/opus-mt-aav-en, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/aav-eng/README.md","aav-eng, source group: Austro-Asiatic languages, target group: English NMT model.",False
opus-mt-aed-es,Helsinki-NLP/opus-mt-aed-es,aed,es,,,"https://huggingface.co/Helsinki-NLP/opus-mt-aed-es, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/aed-es/README.md",opus-mt-aed-es NMT model.,False
opus-mt-af-de,Helsinki-NLP/opus-mt-af-de,af,de,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-de, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-de/README.md",opus-mt-af-de NMT model.,False
opus-mt-af-en,Helsinki-NLP/opus-mt-af-en,af,en,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-en, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-en/README.md",opus-mt-af-en NMT model.,False
opus-mt-af-eo,Helsinki-NLP/opus-mt-af-eo,afr,epo,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-eo, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afr-epo/README.md","afr-epo, source group: Afrikaans, target group: Esperanto NMT model.",False
opus-mt-af-es,Helsinki-NLP/opus-mt-af-es,afr,spa,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-es, https://github.com/Helsinki-NLP/Tatoeba-Challenge/tree/master/models/afr-spa/README.md","afr-spa, source group: Afrikaans, target group: Spanish NMT model.",False
opus-mt-af-fi,Helsinki-NLP/opus-mt-af-fi,af,fi,,,"https://huggingface.co/Helsinki-NLP/opus-mt-af-fi, https://github.com/Helsinki-NLP/OPUS-MT-train/blob/master/models/af-fi/README.md",opus-mt-af-fi NMT model.,False
